id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,movementDate1,movementDate2,movementDate3,movementDate1R
15801,Moving,Jadzia,Domestic Short Hair,Tortoiseshell,Cat,11 years 8 months.,Female,Adoption,11/28/2009,05/13/2017,Senior,5,13,2017,May
15932,Moving,Gonzo,German Shepherd Dog/Mix,Tan,Dog,10 years 9 months.,Male,Adoption,12/08/2009,04/24/2017,Mature,4,24,2017,April
28859,Abandoned,Maggie,Shep Mix/Siberian Husky,Various,Dog,8 years 1 month.,Female,Adoption,08/10/2012,04/15/2017,Mature,4,15,2017,April
28859,Abandoned,Maggie,Shep Mix/Siberian Husky,Various,Dog,8 years 1 month.,Female,Reclaimed,08/10/2012,02/29/2020,Mature,2,29,2020,February
30812,Abandoned,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,10 years 6 months.,Female,Foster,01/11/2013,04/18/2017,Mature,4,18,2017,April
30812,Abandoned,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,10 years 6 months.,Female,Adoption,01/11/2013,05/29/2018,Mature,5,29,2018,May
31469,Incompatible with owner lifestyle,Bonnie,Basenji/Mix,Brown and White,Dog,7 years 6 months.,Female,Adoption,03/26/2013,03/30/2013,Mature,3,30,2013,March
31469,Incompatible with owner lifestyle,Bonnie,Basenji/Mix,Brown and White,Dog,7 years 6 months.,Female,Adoption,03/26/2013,05/09/2017,Mature,5,9,2017,May
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,5 years 7 months.,Male,Foster,10/09/2016,11/26/2016,Adult,11,26,2016,November
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,5 years 7 months.,Male,Foster,10/09/2016,08/09/2017,Adult,8,9,2017,August
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,5 years 7 months.,Male,Adoption,10/09/2016,02/14/2018,Adult,2,14,2018,February
46437,Abandoned,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Foster,10/26/2016,03/25/2017,Senior,3,25,2017,March
46437,Abandoned,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Adoption,10/26/2016,04/07/2017,Senior,4,7,2017,April
46693,Abandoned,Baby,Pitbull,White,Dog,5 years 9 months.,Male,Adoption,11/21/2016,04/07/2017,Adult,4,7,2017,April
47120,Abandoned,Vivian,Himalayan,Seal,Cat,6 years 5 months.,Female,Foster,01/11/2017,01/18/2017,Adult,1,18,2017,January
47120,Abandoned,Vivian,Himalayan,Seal,Cat,6 years 5 months.,Female,Adoption,01/11/2017,05/13/2017,Adult,5,13,2017,May
47146,Abandoned,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,5 years 6 months.,Female,Foster,01/17/2017,03/31/2017,Adult,3,31,2017,March
47146,Abandoned,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,5 years 6 months.,Female,Adoption,01/17/2017,04/01/2017,Adult,4,1,2017,April
47198,Abandoned,Mama Mia,Domestic Short Hair,Grey and White,Cat,4 years 10 months.,Female,Foster,01/22/2017,02/03/2017,Adult,2,3,2017,February
47198,Abandoned,Mama Mia,Domestic Short Hair,Grey and White,Cat,4 years 10 months.,Female,Adoption,01/22/2017,06/22/2017,Adult,6,22,2017,June
47248,Abandoned,Mr. T,DMH/DSH,Black,Cat,11 years 7 months.,Male,Foster,01/27/2017,02/15/2017,Senior,2,15,2017,February
47248,Abandoned,Mr. T,DMH/DSH,Black,Cat,11 years 7 months.,Male,Adoption,01/27/2017,06/02/2017,Senior,6,2,2017,June
47277,Abandoned,Coraline,Domestic Short Hair,Brown and Black,Cat,5 years 5 months.,Female,Adoption,01/31/2017,04/05/2017,Adult,4,5,2017,April
47290,Abandoned,Montana,Domestic Short Hair,Torbie,Cat,4 years 11 months.,Female,Foster,02/01/2017,03/29/2017,Adult,3,29,2017,March
47290,Abandoned,Montana,Domestic Short Hair,Torbie,Cat,4 years 11 months.,Female,Adoption,02/01/2017,06/22/2017,Adult,6,22,2017,June
47319,Rabies Monitoring,Louise Vada,Pitbull,Black,Dog,4 years 5 months.,Female,Reclaimed,02/05/2017,04/05/2017,Adult,4,5,2017,April
47360,Abandoned,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Foster,02/11/2017,03/07/2017,Geriatric,3,7,2017,March
47360,Abandoned,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Foster,02/11/2017,04/25/2017,Geriatric,4,25,2017,April
47360,Abandoned,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Foster,02/11/2017,06/12/2017,Geriatric,6,12,2017,June
47395,Abandoned,Gooseberry,Domestic Short Hair,Tortoiseshell,Cat,15 years 4 months.,Female,Adoption,02/13/2017,04/11/2017,Geriatric,4,11,2017,April
47402,Abandoned,Precious,Shep Mix/Mix,Ruddy,Dog,7 years 6 months.,Female,Foster,02/14/2017,03/21/2017,Mature,3,21,2017,March
47402,Abandoned,Precious,Shep Mix/Mix,Ruddy,Dog,7 years 6 months.,Female,Foster,02/14/2017,04/10/2017,Mature,4,10,2017,April
