speciesname,intakeMonth,intakeMonthR,id,movementMonth,DogAgeGroup,intakeYear,movementDate1R,intakereason,movementYear,movementtype,sexname,CatAgeGroup
Cat,11,February,15801,5,Senior,2009,May,Moving,2017,0,Female,Senior
Dog,12,February,15932,4,Senior,2009,April,Moving,2017,0,Male,Mature
Dog,8,February,28859,4,Mature,2012,April,Abandoned,2017,0,Female,Mature
Dog,8,February,28859,2,Mature,2012,February,Abandoned,2020,1,Female,Mature
Cat,1,January,30812,4,Senior,2013,April,Abandoned,2017,1,Female,Mature
Cat,1,January,30812,5,Senior,2013,May,Abandoned,2018,0,Female,Mature
Dog,3,February,31469,3,Mature,2013,March,Incompatible with owner lifestyle,2013,0,Female,Mature
Dog,3,February,31469,3,Mature,2013,May,Incompatible with owner lifestyle,2013,0,Female,Mature
Dog,3,February,31469,5,Mature,2013,March,Incompatible with owner lifestyle,2017,0,Female,Mature
Dog,3,February,31469,5,Mature,2013,May,Incompatible with owner lifestyle,2017,0,Female,Mature
Dog,10,February,46238,11,Adult,2016,November,Abandoned,2016,1,Male,Adult
Dog,10,February,46238,11,Adult,2016,August,Abandoned,2016,1,Male,Adult
Dog,10,February,46238,8,Adult,2016,November,Abandoned,2017,1,Male,Adult
Dog,10,February,46238,8,Adult,2016,August,Abandoned,2017,1,Male,Adult
Dog,10,February,46238,2,Adult,2016,February,Abandoned,2018,0,Male,Adult
Cat,10,February,46437,3,Geriatric,2016,March,Abandoned,2017,1,Female,Senior
Cat,10,February,46437,4,Geriatric,2016,April,Abandoned,2017,0,Female,Senior
Dog,11,February,46693,4,Adult,2016,April,Abandoned,2017,0,Male,Adult
Cat,1,January,47120,1,Mature,2017,January,Abandoned,2017,1,Female,Adult
Cat,1,January,47120,5,Mature,2017,May,Abandoned,2017,0,Female,Adult
Dog,1,January,47146,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Dog,1,January,47146,4,Adult,2017,April,Abandoned,2017,0,Female,Adult
Cat,1,January,47198,2,Adult,2017,February,Abandoned,2017,1,Female,Adult
Cat,1,January,47198,6,Adult,2017,June,Abandoned,2017,0,Female,Adult
Cat,1,January,47248,2,Senior,2017,February,Abandoned,2017,1,Male,Senior
Cat,1,January,47248,6,Senior,2017,June,Abandoned,2017,0,Male,Senior
Cat,1,January,47277,4,Adult,2017,April,Abandoned,2017,0,Female,Adult
Cat,2,February,47290,3,Adult,2017,March,Abandoned,2017,1,Female,Adult
Cat,2,February,47290,6,Adult,2017,June,Abandoned,2017,0,Female,Adult
Dog,2,February,47319,4,Adult,2017,April,Rabies Monitoring,2017,1,Female,Adult
Cat,2,February,47360,3,Geriatric,2017,March,Abandoned,2017,1,Female,Geriatric
Cat,2,February,47360,3,Geriatric,2017,April,Abandoned,2017,1,Female,Geriatric
Cat,2,February,47360,3,Geriatric,2017,June,Abandoned,2017,1,Female,Geriatric
Cat,2,February,47360,4,Geriatric,2017,March,Abandoned,2017,1,Female,Geriatric
Cat,2,February,47360,4,Geriatric,2017,April,Abandoned,2017,1,Female,Geriatric
Cat,2,February,47360,4,Geriatric,2017,June,Abandoned,2017,1,Female,Geriatric
