id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
15801,Moving,Jadzia,Domestic Short Hair,Tortoiseshell,Cat,11 years 8 months.,Female,Adoption,11/28/2009,05/13/2017,Senior,Senior,05,13,2017,11,28,2009
15932,Moving,Gonzo,German Shepherd Dog/Mix,Tan,Dog,10 years 9 months.,Male,Adoption,12/08/2009,04/24/2017,Mature,Senior,04,24,2017,12,08,2009
28859,Abandoned,Maggie,Shep Mix/Siberian Husky,Various,Dog,8 years 1 month.,Female,Adoption,08/10/2012,04/15/2017,Mature,Mature,04,15,2017,08,10,2012
28859,Abandoned,Maggie,Shep Mix/Siberian Husky,Various,Dog,8 years 1 month.,Female,Reclaimed,08/10/2012,02/29/2020,Mature,Mature,02,29,2020,08,10,2012
30812,Abandoned,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,10 years 6 months.,Female,Foster,01/11/2013,04/18/2017,Mature,Senior,04,18,2017,01,11,2013
30812,Abandoned,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,10 years 6 months.,Female,Adoption,01/11/2013,05/29/2018,Mature,Senior,05,29,2018,01,11,2013
31469,Incompatible with owner lifestyle,Bonnie,Basenji/Mix,Brown and White,Dog,7 years 6 months.,Female,Adoption,03/26/2013,03/30/2013,Mature,Mature,03,30,2013,03,26,2013
31469,Incompatible with owner lifestyle,Bonnie,Basenji/Mix,Brown and White,Dog,7 years 6 months.,Female,Adoption,03/26/2013,05/09/2017,Mature,Mature,05,09,2017,03,26,2013
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,5 years 7 months.,Male,Foster,10/09/2016,11/26/2016,Adult,Adult,11,26,2016,10,09,2016
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,5 years 7 months.,Male,Foster,10/09/2016,08/09/2017,Adult,Adult,08,09,2017,10,09,2016
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,5 years 7 months.,Male,Adoption,10/09/2016,02/14/2018,Adult,Adult,02,14,2018,10,09,2016
46437,Abandoned,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Foster,10/26/2016,03/25/2017,Senior,Geriatric,03,25,2017,10,26,2016
46437,Abandoned,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Adoption,10/26/2016,04/07/2017,Senior,Geriatric,04,07,2017,10,26,2016
46693,Abandoned,Baby,Pitbull,White,Dog,5 years 9 months.,Male,Adoption,11/21/2016,04/07/2017,Adult,Adult,04,07,2017,11,21,2016
