id,intakereason,breedname,speciesname,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
15801,Moving,Domestic Short Hair,Cat,Female,Adoption,11/28/2009,05/13/2017,Senior,Senior,5,13,2017,11,28,2009
15932,Moving,German Shepherd Dog/Mix,Dog,Male,Adoption,12/08/2009,04/24/2017,Mature,Senior,4,24,2017,12,8,2009
28859,Abandoned,Shep Mix/Siberian Husky,Dog,Female,Adoption,08/10/2012,04/15/2017,Mature,Mature,4,15,2017,8,10,2012
28859,Abandoned,Shep Mix/Siberian Husky,Dog,Female,Reclaimed,08/10/2012,02/29/2020,Mature,Mature,2,29,2020,8,10,2012
30812,Abandoned,Domestic Short Hair,Cat,Female,Foster,01/11/2013,04/18/2017,Mature,Senior,4,18,2017,1,11,2013
30812,Abandoned,Domestic Short Hair,Cat,Female,Adoption,01/11/2013,05/29/2018,Mature,Senior,5,29,2018,1,11,2013
31469,Incompatible with owner lifestyle,Basenji/Mix,Dog,Female,Adoption,03/26/2013,03/30/2013,Mature,Mature,3,30,2013,3,26,2013
31469,Incompatible with owner lifestyle,Basenji/Mix,Dog,Female,Adoption,03/26/2013,05/09/2017,Mature,Mature,5,9,2017,3,26,2013
46238,Abandoned,Heeler/Mix,Dog,Male,Foster,10/09/2016,11/26/2016,Adult,Adult,11,26,2016,10,9,2016
46238,Abandoned,Heeler/Mix,Dog,Male,Foster,10/09/2016,08/09/2017,Adult,Adult,8,9,2017,10,9,2016
46238,Abandoned,Heeler/Mix,Dog,Male,Adoption,10/09/2016,02/14/2018,Adult,Adult,2,14,2018,10,9,2016
46437,Abandoned,Domestic Long Hair,Cat,Female,Foster,10/26/2016,03/25/2017,Senior,Geriatric,3,25,2017,10,26,2016
46437,Abandoned,Domestic Long Hair,Cat,Female,Adoption,10/26/2016,04/07/2017,Senior,Geriatric,4,7,2017,10,26,2016
46693,Abandoned,Pitbull,Dog,Male,Adoption,11/21/2016,04/07/2017,Adult,Adult,4,7,2017,11,21,2016
47120,Abandoned,Himalayan,Cat,Female,Foster,01/11/2017,01/18/2017,Adult,Mature,1,18,2017,1,11,2017
47120,Abandoned,Himalayan,Cat,Female,Adoption,01/11/2017,05/13/2017,Adult,Mature,5,13,2017,1,11,2017
47146,Abandoned,Labrador Retriever/Affenpinscher,Dog,Female,Foster,01/17/2017,03/31/2017,Adult,Adult,3,31,2017,1,17,2017
47146,Abandoned,Labrador Retriever/Affenpinscher,Dog,Female,Adoption,01/17/2017,04/01/2017,Adult,Adult,4,1,2017,1,17,2017
47198,Abandoned,Domestic Short Hair,Cat,Female,Foster,01/22/2017,02/03/2017,Adult,Adult,2,3,2017,1,22,2017
47198,Abandoned,Domestic Short Hair,Cat,Female,Adoption,01/22/2017,06/22/2017,Adult,Adult,6,22,2017,1,22,2017
47248,Abandoned,DMH/DSH,Cat,Male,Foster,01/27/2017,02/15/2017,Senior,Senior,2,15,2017,1,27,2017
47248,Abandoned,DMH/DSH,Cat,Male,Adoption,01/27/2017,06/02/2017,Senior,Senior,6,2,2017,1,27,2017
47277,Abandoned,Domestic Short Hair,Cat,Female,Adoption,01/31/2017,04/05/2017,Adult,Adult,4,5,2017,1,31,2017
47290,Abandoned,Domestic Short Hair,Cat,Female,Foster,02/01/2017,03/29/2017,Adult,Adult,3,29,2017,2,1,2017
47290,Abandoned,Domestic Short Hair,Cat,Female,Adoption,02/01/2017,06/22/2017,Adult,Adult,6,22,2017,2,1,2017
47319,Rabies Monitoring,Pitbull,Dog,Female,Reclaimed,02/05/2017,04/05/2017,Adult,Adult,4,5,2017,2,5,2017
47360,Abandoned,DSH/Unknown,Cat,Female,Foster,02/11/2017,03/07/2017,Geriatric,Geriatric,3,7,2017,2,11,2017
47360,Abandoned,DSH/Unknown,Cat,Female,Foster,02/11/2017,04/25/2017,Geriatric,Geriatric,4,25,2017,2,11,2017
47360,Abandoned,DSH/Unknown,Cat,Female,Foster,02/11/2017,06/12/2017,Geriatric,Geriatric,6,12,2017,2,11,2017
47395,Abandoned,Domestic Short Hair,Cat,Female,Adoption,02/13/2017,04/11/2017,Geriatric,Geriatric,4,11,2017,2,13,2017
47402,Abandoned,Shep Mix/Mix,Dog,Female,Foster,02/14/2017,03/21/2017,Mature,Mature,3,21,2017,2,14,2017
47402,Abandoned,Shep Mix/Mix,Dog,Female,Foster,02/14/2017,04/10/2017,Mature,Mature,4,10,2017,2,14,2017
47402,Abandoned,Shep Mix/Mix,Dog,Female,Adoption,02/14/2017,05/05/2017,Mature,Mature,5,5,2017,2,14,2017
47402,Abandoned,Shep Mix/Mix,Dog,Female,Reclaimed,02/14/2017,08/28/2020,Mature,Mature,8,28,2020,2,14,2017
47414,Abandoned,Pitbull/Mix,Dog,Male,Adoption,02/16/2017,04/15/2017,Mature,Mature,4,15,2017,2,16,2017
47414,Abandoned,Pitbull/Mix,Dog,Male,Reclaimed,02/16/2017,07/22/2017,Mature,Mature,7,22,2017,2,16,2017
47414,Abandoned,Pitbull/Mix,Dog,Male,Reclaimed,02/16/2017,09/02/2017,Mature,Mature,9,2,2017,2,16,2017
47429,Abandoned,British Shorthair/Unknown,Cat,Female,Foster,02/18/2017,03/05/2017,Senior,Geriatric,3,5,2017,2,18,2017
47429,Abandoned,British Shorthair/Unknown,Cat,Female,Adoption,02/18/2017,04/26/2017,Senior,Geriatric,4,26,2017,2,18,2017
47502,Marriage/Relationship split,Pitbull/Mix,Dog,Female,Adoption,02/27/2017,04/08/2017,Adult,Adult,4,8,2017,2,27,2017
47502,Marriage/Relationship split,Pitbull/Mix,Dog,Female,Adoption,02/27/2017,06/01/2017,Adult,Adult,6,1,2017,2,27,2017
47510,Abandoned,Domestic Short Hair,Cat,Female,Adoption,02/28/2017,04/02/2017,Adult,Adult,4,2,2017,2,28,2017
47511,Abandoned,DSH/Unknown,Cat,Female,Adoption,02/28/2017,04/01/2017,Adult,Adult,4,1,2017,2,28,2017
47520,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/02/2017,04/04/2017,Adult,Adult,4,4,2017,3,2,2017
47521,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/02/2017,04/07/2017,Adult,Adult,4,7,2017,3,2,2017
47538,Abandoned,Labrador Retriever/Coonhound,Dog,Male,Adoption,03/04/2017,04/03/2017,Adult,Adult,4,3,2017,3,4,2017
47539,Abandoned,Domestic Short Hair/Unknown,Cat,Male,Adoption,03/04/2017,04/01/2017,Mature,Mature,4,1,2017,3,4,2017
47539,Abandoned,Domestic Short Hair/Unknown,Cat,Male,Adoption,03/04/2017,07/06/2020,Mature,Mature,7,6,2020,3,4,2017
47540,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/04/2017,04/01/2017,Adult,Adult,4,1,2017,3,4,2017
47558,Abandoned,"Golden Retriever/Poodle, Standard",Dog,Male,Adoption,03/06/2017,03/29/2017,Mature,Mature,3,29,2017,3,6,2017
47558,Abandoned,"Golden Retriever/Poodle, Standard",Dog,Male,Adoption,03/06/2017,04/12/2017,Mature,Mature,4,12,2017,3,6,2017
47562,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/06/2017,03/31/2017,Mature,Mature,3,31,2017,3,6,2017
47575,Moving,Mastiff,Dog,Female,Foster,03/07/2017,03/10/2017,Adult,Mature,3,10,2017,3,7,2017
47575,Moving,Mastiff,Dog,Female,Adoption,03/07/2017,04/15/2017,Adult,Mature,4,15,2017,3,7,2017
47575,Moving,Mastiff,Dog,Female,Foster,03/07/2017,05/12/2017,Adult,Mature,5,12,2017,3,7,2017
47575,Moving,Mastiff,Dog,Female,Adoption,03/07/2017,05/16/2017,Adult,Mature,5,16,2017,3,7,2017
47575,Moving,Mastiff,Dog,Female,Adoption,03/07/2017,12/30/2017,Adult,Mature,12,30,2017,3,7,2017
47575,Moving,Mastiff,Dog,Female,Adoption,03/07/2017,10/15/2018,Adult,Mature,10,15,2018,3,7,2017
47576,Abandoned,Pitbull,Dog,Female,Adoption,03/07/2017,06/05/2017,Adult,Adult,6,5,2017,3,7,2017
47582,Abandoned,Pitbull/Mix,Dog,Male,Adoption,03/07/2017,04/25/2017,Adult,Adult,4,25,2017,3,7,2017
47591,Abandoned,Papillon,Dog,Female,Foster,03/09/2017,03/16/2017,Mature,Mature,3,16,2017,3,9,2017
47591,Abandoned,Papillon,Dog,Female,Adoption,03/09/2017,05/22/2017,Mature,Mature,5,22,2017,3,9,2017
47595,Owner Deceased,Domestic Short Hair,Cat,Female,Adoption,03/09/2017,06/16/2017,Senior,Senior,6,16,2017,3,9,2017
47613,Abandoned,Beagle,Dog,Male,Adoption,03/10/2017,04/02/2017,Mature,Mature,4,2,2017,3,10,2017
47613,Abandoned,Beagle,Dog,Male,Reclaimed,03/10/2017,09/05/2017,Mature,Mature,9,5,2017,3,10,2017
47613,Abandoned,Beagle,Dog,Male,Adoption,03/10/2017,09/06/2017,Mature,Mature,9,6,2017,3,10,2017
47617,Abandoned,DSH/Unknown,Cat,Female,Adoption,03/10/2017,04/07/2017,Mature,Mature,4,7,2017,3,10,2017
47627,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47627,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/11/2017,05/14/2017,Adult,Adult,5,14,2017,3,11,2017
47628,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47628,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/11/2017,05/18/2017,Adult,Adult,5,18,2017,3,11,2017
47629,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47629,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/11/2017,05/18/2017,Adult,Adult,5,18,2017,3,11,2017
47630,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47630,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/18/2017,Adult,Adult,4,18,2017,3,11,2017
47630,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,05/16/2017,Adult,Adult,5,16,2017,3,11,2017
47630,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/11/2017,06/15/2017,Adult,Adult,6,15,2017,3,11,2017
47631,Abandoned,DLH/Unknown,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47631,Abandoned,DLH/Unknown,Cat,Male,Foster,03/11/2017,04/18/2017,Adult,Adult,4,18,2017,3,11,2017
47631,Abandoned,DLH/Unknown,Cat,Male,Adoption,03/11/2017,05/11/2017,Adult,Adult,5,11,2017,3,11,2017
47632,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47632,Abandoned,DSH/Unknown,Cat,Male,Foster,03/11/2017,04/18/2017,Adult,Adult,4,18,2017,3,11,2017
47632,Abandoned,DSH/Unknown,Cat,Male,Adoption,03/11/2017,05/11/2017,Adult,Adult,5,11,2017,3,11,2017
47633,Abandoned,DSH/Unknown,Cat,Female,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47633,Abandoned,DSH/Unknown,Cat,Female,Adoption,03/11/2017,05/16/2017,Adult,Adult,5,16,2017,3,11,2017
47634,Abandoned,Domestic Short Hair,Cat,Female,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47634,Abandoned,Domestic Short Hair,Cat,Female,Adoption,03/11/2017,05/04/2017,Adult,Adult,5,4,2017,3,11,2017
47635,Abandoned,Domestic Short Hair,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47635,Abandoned,Domestic Short Hair,Cat,Male,Adoption,03/11/2017,05/07/2017,Adult,Adult,5,7,2017,3,11,2017
47636,Abandoned,Domestic Short Hair,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47636,Abandoned,Domestic Short Hair,Cat,Male,Adoption,03/11/2017,05/04/2017,Adult,Adult,5,4,2017,3,11,2017
47637,Abandoned,Domestic Short Hair,Cat,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,4,6,2017,3,11,2017
47637,Abandoned,Domestic Short Hair,Cat,Male,Adoption,03/11/2017,05/07/2017,Adult,Adult,5,7,2017,3,11,2017
47638,Abandoned,Domestic Short Hair,Cat,Female,Foster,03/11/2017,04/06/2017,Adult,Mature,4,6,2017,3,11,2017
47638,Abandoned,Domestic Short Hair,Cat,Female,Adoption,03/11/2017,05/06/2017,Adult,Mature,5,6,2017,3,11,2017
47639,Abandoned,Labrador Retriever/Collie,Dog,Male,Adoption,03/11/2017,03/31/2017,Adult,Adult,3,31,2017,3,11,2017
47639,Abandoned,Labrador Retriever/Collie,Dog,Male,Adoption,03/11/2017,04/02/2017,Adult,Adult,4,2,2017,3,11,2017
47639,Abandoned,Labrador Retriever/Collie,Dog,Male,Adoption,03/11/2017,03/22/2019,Adult,Adult,3,22,2019,3,11,2017
47639,Abandoned,Labrador Retriever/Collie,Dog,Male,Foster,03/11/2017,05/15/2019,Adult,Adult,5,15,2019,3,11,2017
47639,Abandoned,Labrador Retriever/Collie,Dog,Male,Adoption,03/11/2017,06/12/2019,Adult,Adult,6,12,2019,3,11,2017
47659,Abandoned,Domestic Medium Hair,Cat,Male,Adoption,03/14/2017,04/07/2017,Adult,Adult,4,7,2017,3,14,2017
47661,Abandoned,Domestic Short Hair,Cat,Male,Adoption,03/15/2017,04/26/2017,Adult,Adult,4,26,2017,3,15,2017
47662,Abandoned,Shep Mix/Great Dane,Dog,Female,Adoption,03/15/2017,04/01/2017,Mature,Mature,4,1,2017,3,15,2017
47665,Abandoned,Bully Breed Mix/Mix,Dog,Female,Adoption,03/15/2017,04/08/2017,Adult,Mature,4,8,2017,3,15,2017
47665,Abandoned,Bully Breed Mix/Mix,Dog,Female,Adoption,03/15/2017,06/09/2017,Adult,Mature,6,9,2017,3,15,2017
47681,Abandoned,Siberian Husky/Affenpinscher,Dog,Male,Transfer,03/18/2017,04/12/2017,Adult,Adult,4,12,2017,3,18,2017
47683,Abandoned,Hound/German Shorthaired Pointer,Dog,Male,Adoption,03/18/2017,04/12/2017,Adult,Adult,4,12,2017,3,18,2017
47684,Abandoned,Domestic Short Hair,Cat,Female,Foster,03/18/2017,04/26/2017,Geriatric,Geriatric,4,26,2017,3,18,2017
47684,Abandoned,Domestic Short Hair,Cat,Female,Foster,03/18/2017,07/27/2017,Geriatric,Geriatric,7,27,2017,3,18,2017
47684,Abandoned,Domestic Short Hair,Cat,Female,Adoption,03/18/2017,07/31/2017,Geriatric,Geriatric,7,31,2017,3,18,2017
47685,Abandoned,Domestic Short Hair,Cat,Female,Adoption,03/18/2017,04/13/2017,Geriatric,Geriatric,4,13,2017,3,18,2017
47685,Abandoned,Domestic Short Hair,Cat,Female,Transfer,03/18/2017,05/14/2018,Geriatric,Geriatric,5,14,2018,3,18,2017
47688,Abandoned,Domestic Short Hair,Cat,Female,Foster,03/18/2017,03/20/2017,Adult,Adult,3,20,2017,3,18,2017
47688,Abandoned,Domestic Short Hair,Cat,Female,Adoption,03/18/2017,04/26/2017,Adult,Adult,4,26,2017,3,18,2017
